Product,Code,MeasurementUnit,Price,Cost,ProductGroup
Lele Rice 1kg,TY00000,1kg,24,22.5,Rice
Lele Rice 5kg,TY00001,5kg,110,105.6,Rice
Lele Rice 25kg,TY00002,25kg,545,525,Rice
Lele Rice 10kg,TY00003,10kg,230,0,Rice
Sultana Thai Rice 4.5kg,TY00004,4.5kg,106,100,Rice
Diora Thai Rice 5kg,TY00005,5kg,40,0,Rice
Fortune Orange 5kg,TY00006,5kg,84,81,Rice
Emerald,TY00007,5kg,57,0,Rice
Gino Rice 5kg,TY00008,5kg,134,130,Rice
Bella Rice Viet 5kg,TY00009,5kg,69,65,Rice
Mother'S Pride Blue,TY00010,5kg,90.5,0,Rice
Mother'S Pride Orange,TY00011,5kg,110,0,Rice
Supreme Round Rice 25kgs,TY00012,25kg,124.384,0,Rice
Supreme Round Rice 50kgs,TY00013,50kg,610,590,Rice
Ruby Viet Rice 5 % Broken 4.5kg,TY00014,4.5kg,68,65,Rice
Ruby Viet Rice 5 % Broken 22.5kg,TY00015,22.5kg,340,325,Rice
Ruby Viet Rice 5 % Broken 45kg,TY00016,45kg,650,630,Rice
Special Viet Rice 4.5kg,TY00017,4.5kg,71,31.57894737,Rice
Royal Aroma 5kg,TY00018,5kg,77,74,Rice
Royal Aroma Jasmine,TY00019,4.5kg,85,0,Rice
Special Viet Rice 5 % Broken 50kg,TY00020,50kg,635,605,Rice
Cindy Jasmine 1kg,TY00217,1kg,17.5,16.5,Rice
Cindy Jasmine 25kg,TY00021,25kg,378,358,Rice
Cindy Jasmine 50kg,TY00022,50kg,805,785,Rice
Sultana Viet 4.25kg,TY00023,4.5kg,67,64,Rice
Sultana Viet 45kg,TY00024,45kg,640,620,Rice
Sultana Viet 22.5kg,TY00025,22.5kg,340,320,Rice
Mario,TY00026,4.5kg,65,0,Rice
Wonder,TY00027,4.5kg,30.71744,0,Rice
Mala,TY00028,50kg,302.848,0,Rice
Fortune Green 5kg,TY00029,5kg,83,79,Rice
K75 5kg,TY00030,5kg,80,77.4,Rice
K75 25kg,TY00213,25kg,395,380,Rice
Red Eagle 5kg,TY00031,4.5kg,78,75,Rice
Millicent Rice 5kg,TY00032,5kg,78.5,74.5,Rice
Millicent Rice 25kg,TY00033,25kg,387,367,Rice
Cindy Gold Rice 5kgx5,TY00034,25kg,385,0,Rice
Cindy Rice 5X5kg,TY00035,25kg,383,365,Rice
Prime Choice Thai 4.5kg,TY00036,5kg,53,0,Rice
Prime Choice Thai 22.5kg,TY00037,50lbs,240,0,Rice
Queen,TY00038,5kg,40,0,Rice
Abena Viet 22.5kg,TY00039,22.5kg,365,345,Rice
Abena Viet 4.5kg,TY00040,4.5kg,73,70,Rice
Texas 22.5kg,TY00041,22.5kg,175,0,Rice
Texas 45.kg,TY00042,45kg,285,0,Rice
Abena Rice 1kg,TY00043,1kg,16,15,Rice
Miss U Rice 45kg,TY00044,45kg,660,645,Rice
Chanel Rice 45kg,TY00045,45kg,635,625,Rice
Chanel Rice 4.5kg,TY00046,4.5kg,69,67,Rice
Pretty Lady 5kg,TY00047,5kg,70,66,Rice
Aaba Rice 50kg,TY00048,50kg,530,259,Rice
Mama Joy Rice 22.5kg,TY00049,22.5kg,248,155.3333333,Rice
Ginny,TY00050,4.5kg,77.5,0,Rice
Peacock Rice 5kg,TY00051,5kg,118,111,Rice
Nigeria Rice (Olonka) 2kg,TY00052,2kg,30,28,Rice
Oba Rice 5kg,TY00053,5kg,67,0,Rice
Gino Tomato Sachet 60G,TY00054,pcs,2.2,1.88,Tomato Paste
Pogo Rice,TY00055,50kg,0,0,Rice
Cic Rice 5kg Green,TY00056,5kg,85,0,Rice
Mom'S Recipe Sunflower Oil 1L,TY00057,1l,36,0,Oil
Mom'S Recipe Sunflower Oil 3L,TY00058,3l,105,95,Oil
Mom'S Recipe Sunflower Oil 5L,TY00059,5l,155,140,Oil
Vega Oil 25L,TY00060,25l,310,0,Oil
Viking Veg Oil 20L,TY00061,20l,0,0,Oil
Talisha Oil 5L,TY00062,5l,103,0,Oil
Talisha Oil 25L,TY00063,25l,420,0,Oil
Frytol 0.5L,TY00064,0.5l,17,15.4,Oil
Frytol 0.9L,TY00065,0.9l,30,26.5,Oil
Frytol 4.5L,TY00066,4.5l,110,98.75,Oil
Frytol 5L,TY00067,5l,250,0,Oil
Frytol 25L,TY00068,25l,500,480,Oil
Ginny 5L,TY00069,5l,90,0,Oil
Aya 25L,TY00070,25l,470,0,Oil
Aya 10L,TY00071,10l,215,0,Oil
unoli 1l,TY00072,0.9l,40,0,Oil
Collina D'Oro,TY00073,,0,0,Oil
Semi Vari Oil,TY00074,1l,25,0,Oil
Tasty Tom Sachets 210g,TY00075,sachet,6.5,3.45,Tomato Paste
Tasty Tom 210g Tin,TY00076,tin,7,6,Tomato Paste
Tasty Tom Sachets 400g,TY00077,sachet,10,9.25,Tomato Paste
Tasty Tom Tin 400g,TY00078,tin,10.5,9.58,Tomato Paste
Tasty Tom Sachets 1.05kg,TY00079,sachet,23.5,22.25,Tomato Paste
Tasty Tom Tin 2.2kg,TY00080,tin,48,46,Tomato Paste
Tasty Tom Sachets 60g,TY00081,sachet,2.2,2,Tomato Paste
Tasty Tom Tin 400g Box,TY00082,box,4,227,Tomato Paste
Gino Sachet 200g Box,TY00083,box,6,5,Tomato Paste
Lyzy Tin Tomato 210g Box,TY00084,box,155,0,Tomato Paste
Sweet Mama 70G Sachet,TY00085,sachet,1,0,Tomato Paste
Rosa Tomato Paste 2.2kg Tin,TY00086,tin,35,3.52,Tomato Paste
Leap 210Gm Tin,TY00087,tin,4,0,Tomato Paste
Lyzy Tin Tomato 2.2kg,TY00088,tin,34,0,Tomato Paste
Lyzy Tomato Paste Sachet 210G,TY00089,sachet,4,0,Tomato Paste
Gino Sachet 200g,TY00090,sachet,6.5,5.96,Tomato Paste
Gino Tin 2.2kg,TY00091,tin,45,42,Tomato Paste
Kivo Tomato Paste 2.2kg,TY00092,tin,42,0,Tomato Paste
Salsa Tomato Paste 400G,TY00093,tin,20.5,0,Tomato Paste
Enapa Mackerel 425G Green (Eo),TY00094,pcs,16,13.88,Mackerel
Enapa Mackerel(Ho) Red,TY00095,pcs,7,5.86,Mackerel
Enapa Mackerel(Eo) Green,TY00096,pcs,7,6.04,Mackerel
Vega Mackerel (Ho) 400g,TY00097,pcs,11,0,Mackerel
Tonoli 125g,TY00098,pcs,5,0,Mackerel
Vega Sardines,TY00099,pcs,8.3,0,Sardine
Bella Sardine,TY00100,pcs,7.5,6.3,Sardine
Enapa Sardines,TY00101,pcs,8,2.81,Sardine
Titus Sardine 125G,TY00102,pcs,10,8.5,Sardine
Abena Sardine,TY00103,pcs,8.3,2.163265306,Sardine
Pavani Sardine,TY00104,pcs,3.5,0,Sardine
Moms,TY00105,pcs,4,0,Sardine
Ginny Sardine,TY00106,pcs,8.5,0,Sardine
Enapa Tuna Flakes 160G,TY00107,pcs,15.5,14.5,Tuna Flakes\Chunks
Enapa Tuna Chunks 160G,TY00108,pcs,16.5,15.5,Tuna Flakes\Chunks
Royal Atlantic Chunks 160G,TY00109,pcs,17.5,16.5,Tuna Flakes\Chunks
Royal Atlantic Flakes 160G,TY00110,pcs,16.5,15.5,Tuna Flakes\Chunks
Mom'S Recipe Ketchup 340G,TY00111,pcs,4.5,0,Ketchup\Mayonnaise\Baked Beans
Alfa Ketchup 340G,TY00112,pcs,10,8.75,Ketchup\Mayonnaise\Baked Beans
Alfa Mayonaisse 900G,TY00113,pcs,15,0,Ketchup\Mayonnaise\Baked Beans
Heinze Baked Beans 420G,TY00114,pcs,6.8,6,Ketchup\Mayonnaise\Baked Beans
Golden Country Bb 420G,TY00115,pcs,5.5,0,Ketchup\Mayonnaise\Baked Beans
Vega Baked Beans 425G,TY00116,pcs,8,0,Ketchup\Mayonnaise\Baked Beans
Rambo Beef Pate 425G,TY00117,pcs,12,0,Ketchup\Mayonnaise\Baked Beans
Roch Spaghettie,TY00118,pcs,2.2,0,Spaghetti
Moms Spaghetti,TY00119,pcs,3,0,Spaghetti
Oba Spaghetti 450G,TY00120,pcs,9,3.69,Spaghetti
Gino Spaghetti,TY00121,pcs,3.5,0,Spaghetti
Maman Macaroni,TY00122,pcs,12,0,Spaghetti
Angelina Spaghetti 400G,TY00123,pcs,7,6.25,Spaghetti
Combino Spaghetti,TY00124,pcs,8.5,0,Spaghetti
Indomie Onion 70G,TY00125,pcs,1.70352,0,Indomie
Indomie  70G,TY00126,pcs,75,0,Indomie
Indomie 120G,TY00127,pcs,2.62288,0,Indomie
Indomie 180G,TY00128,pcs,9.5,0,Indomie
U2 Spice,TY00129,pcs,0.8,0,Spices
Sugar Bag Morocco 50kg,TY00130,50kg,640,0,Sugar
Gino Curry Powder 4g,TY00131,pcs,0.6,0.45,Spices
Unoli Margerine 1kg,TY00132,1kg,5.5,0,Oil
Wâ†„Fa Chef Goat / Fish / Jollof,TY00133,pcs,0.6,0,Spices
Remies Chicken Seasoning 10G,TY00134,pcs,1,0.48,Spices
Remies Jollof 50G Seasoning Powder,TY00135,pcs,4,0,Spices
Sankofa Spice Stew 5G,TY00136,5g,0.8,0.561784387,Spices
Bennies Chicken Powder,TY00137,pcs,1.5,0,Spices
Onga Strip Blue,TY00138,pcs,1,0,Spices
Onga Strips Small Red,TY00139,pcs,1,0,Spices
Egye Aware [rplc],TY00140,pcs,0,0,Spices
Onga Beef Tablet (3Pcs),TY00141,3pcs,2,1.6927,Spices
Onga Shrimp Tablet (3Pcs,TY00142,3pcs,2,0,Spices
Maggi  10G Tablet (3Pcs),TY00143,3pcs,2,1.5104,Spices
Vinegar,TY00144,,30,0,Spices
Coca Cola 2L,TY00145,2l,24,0,Beverages
Coca Cola Cans 330Ml,TY00146,330ml,7,0,Beverages
Coca Cola 300Ml,TY00147,300ml,5,4.42,Beverages
Coca Cola 1.5L,TY00148,1.5l,20,0,Beverages
Fanta 1.5L,TY00149,1.5l,20,16.17,Beverages
Malta Guinness Cans 330Ml,TY00150,330ml,7,0,Beverages
Malta Guinness Pet 350Ml,TY00151,350ml,7,0,Beverages
Bel Malt 350Ml,TY00152,350ml,3.5,0,Beverages
Appela 300Ml,TY00153,300ml,2,0,Beverages
Bel Energy (Boss) 300Ml,TY00154,300ml,2.5,0,Beverages
Bel Soda 350Ml,TY00155,350ml,2,0,Beverages
Bel-Aqua Medium 750Ml,TY00156,750ml,3,0,Beverages
Bel-Aqua Small 500Ml,TY00157,500ml,2,0,Beverages
Fanta 300Ml,TY00158,300ml,5,3.46,Beverages
Spar-Leta Tonic Pet 350Ml,TY00159,350ml,5,0,Beverages
Spar-Leta Soda Pet 350Ml,TY00160,350ml,5,3.46,Beverages
Spar-Leta Orange Pet 350Ml,TY00161,350ml,5,0,Beverages
Schweppes Citrus Pet 350Ml,TY00162,350ml,5,2.02,Beverages
Predator 350Ml,TY00163,350ml,5,2.127272727,Beverages
Fanta Cans 330Ml,TY00164,330ml,7,0,Beverages
Sprite Cans 330Ml,TY00165,330ml,7,0,Beverages
Voltic Water Small 500Ml,TY00166,500ml,2,1.54,Beverages
Voltic Water Medium 750Ml,TY00167,750ml,3,2.09,Beverages
Storm Energy Pet 350Ml,TY00168,350ml,2.5,0,Beverages
Rush 350Ml,TY00169,350ml,2.5,0,Beverages
Vimto Pet 300Ml,TY00170,300ml,3,0,Beverages
Chicken Thighs Soft(Broilers),TY00171,1kg,28,26.51,Meat\Fish
Boneless Beef,TY00172,1kg,80,70,Meat\Fish
Beef(Boned),TY00173,1kg,40,0,Meat\Fish
Goat Meat,TY00174,kg,85,70,Meat\Fish
Pork - Local,TY00175,1kg,55,55,Meat\Fish
Chicken Layer Thigh Hard,TY00176,kg,32,30.79,Meat\Fish
Drumstick,TY00177,kg,34,27,Meat\Fish
Chicken Wings Hard,TY00178,kg,34,33,Meat\Fish
Chicken Wings Soft,TY00179,kg,34,22.96,Meat\Fish
Cvale Gizzard,TY00180,kg,30,27,Meat\Fish
Chicken Back,TY00181,kg,22,19,Meat\Fish
Kpanla 16+,TY00182,kg,30,24,Meat\Fish
Kpanla 20+,TY00343,kg,35,31.6,Meat\Fish
Red Fish Small,TY00183,kg,38,0,Meat\Fish
Cassava Fish,TY00184,kg,45,42,Meat\Fish
Salmon,TY00185,kg,25,0,Meat\Fish
Amah,TY00186,kg,25,0,Meat\Fish
Chicken Breast  1kg,TY00187,kg,50,45,Meat\Fish
Cow Leg Kotodwe,TY00188,kg,26,24,Meat\Fish
Pork Feet,TY00189,kg,28,26,Meat\Fish
Beef Tripe (Intestines)  Yemad3E,TY00190,kg,28,24,Meat\Fish
Full Whole Chicken [rplc,TY00191,kg,380,0,Meat\Fish
Doux,TY00192,kg,12,0,Meat\Fish
Seara Sausage,TY00193,pcs,15,13.5,Meat\Fish
Sadia Sausage,TY00194,pcs,15.5,14,Meat\Fish
Chicken Legs (Feet),TY00195,kg,28,23,Meat\Fish
Turkey Wings,TY00196,kg,45,40,Meat\Fish
Goat Head And Leg,TY00197,kg,45,0,Meat\Fish
Goat Tripe Intestines,TY00198,kg,40,0,Meat\Fish
Beef Sinews Ntini [Veins],TY00199,kg,35,32,Meat\Fish
Facemask (Cow Face),TY00200,kg,34,32.5,Meat\Fish
Yellow Tail,TY00201,kg,32,19.72,Meat\Fish
Beef Sausage - Seara,TY00341,kg,16,0,Meat\Fish
Beef Sausage - Sadia,TY00202,kg,18,0,Meat\Fish
Amani,TY00203,kg,24,0,Meat\Fish
Turkey Tail,TY00204,kg,50,0,Meat\Fish
Turkey Tips,TY00340,kg,40,32.41841004,Meat\Fish
Local Salmon,TY00342,kg,32,23.62453949,Meat\Fish
Boerewors Sausage,TY00205,kg,0,0,Meat\Fish
Hake [Ama],TY00206,kg,35,32,Meat\Fish
Special Rice 25kg,TY00207,25kg,350,335,Rice
Gino Pepper & Onion 60G,TY00208,sachet,2.2,0,Tomato Paste
Chanel Rice 4.5kgx5,TY00209,5x4.5kg,345,325,Rice
Chanel Rice 25kg,TY00210,25kg,342,322,Rice
Peacock Rice 5X5kg,TY00211,25kg,590,555,Rice
Viking 25Ltr Oil,TY00212,25l,460,0,Oil
Sugar Morocco  Olonka 3kg,TY00214,2kg,40,0,Sugar
Wofa Stew Spice,TY00215,pcs,0.6,0,Spices
Cindy Rice 5kg,TY00216,5kg,77,74,Rice
[rplc,TY00218,box,96,0,Indomie
Indomie Onion  Box,TY00251,box,96,0,Indomie
Indomie Super Full Box Small,TY00219,box,102,0,Indomie
Vega Tomato Paste Sachet,TY00220,sachet,3,0,Tomato Paste
Hot & Spicy Sausage,TY00221,1kg,20,0,Meat\Fish
Pig Head (Pork),TY00222,kg,35,0,Meat\Fish
Gino Tomato Tin 210G,TY00223,tin,7,0,Tomato Paste
Fortune Orange Rice 25kg,TY00224,25kg,375,0,Rice
Diora 5kgx5,TY00226,25kg,200,0,Rice
Diora Thai Rice 25kg,TY00225,25kg,200,0,Rice
Kontomire,TY00227,pcs,12,0,Spices
Oba Rice 22.5kg,TY00229,22.5kg,345,330,Rice
Oba Rice 4.5kg x5,TY00228,5x5,335,320,Rice
Red Fish Big,TY00230,1kg,45,0,Meat\Fish
Cindy Gold Rice 5kg,TY00231,5kg,75,70.9,Rice
Bella Rice Viet 22.5kg,TY00232,22.5kg,340,320,Rice
Ruby Margarine,TY00233,pcs,4.5,0,Oil
Viva Rice 5X4.5kg,TY00239,5x4.5kg,335,0,Rice
Viva 4.5kg Rice,TY00240,5kg,67,64,Rice
Starlite Rice 50kg,TY00546,50kg,310,0,Rice
Indomie 120G Box,TY00241,box,108,0,Indomie
Indomie 70G Box,TY00314,box,75,0,Indomie
Yellow Tail Big,TY00243,kg,34,0,Meat\Fish
Unoli Margarine 250G,TY00246,pcs,0,0,Oil
Enapa Mackerel Red Ho 425G,TY00245,pcs,16,13.46,Mackerel
Lyzy Tin Tomato 210G,TY00247,tin,6,0,Tomato Paste
Remie Beef Seasoning 10G,TY00248,pcs,1,0.7,Spices
Remies 10G Jollof,TY00249,pcs,1,0,Spices
Bennies Beef Powder,TY00252,pcs,1.5,0,Spices
Onga 64X12G Beef Tablet Box,TY00253,64x12g,32,0,Spices
Morocco Sugar Half Olonka,TY00254,64p,30,0,Sugar
Maggi 60X10G Shrimp Tablets Box,TY00255,60x10g,32,28.33,Spices
Coca Cola 30Cl Pack,TY00234,0.3lx12,56,53,Beverages
Schweppes Citrus 35Cl Pack,TY00235,0.35lx12,58,41.5,Beverages
Wofa Beef Spice 10G,TY00236,pcs,0.6,0,Spices
Oba Spaghetti 450G Box,TY00237,20x450g,158,0,Spaghetti
Royal Umbrella 5kg,TY00356,5kg,114,111,Rice
Bella 45kg,TY00256,45kg,640,620,Rice
Chanel Gold 5kg,TY00257,5kg,69,65,Rice
Indomie Super Pack Box,TY00349,box,240,228,Indomie
Indomie Hungryman Box,TY00350,box,220,205,Indomie
Pretty Lady 45kg,TY00258,45kg,640,630,Rice
Viking  Oil 25L,TY00336,25l,460,0,Oil
Chanel Gold 5X5kg,TY00337,5x5kg,345,325,Rice
Lyzy 2.2 Paste,TY00296,tin,23,0,Tomato Paste
Lele Sardine,TY00261,pcs,9,8,Sardine
Medaase Spag 435G,TY00272,pcs,8,6.75,Spaghetti
Angelina Macaroni,TY00263,pcs,6.5,0,Spaghetti
Abena Beef Pate,TY00264,pcs,14.5,0,Ketchup\Mayonnaise\Baked Beans
Lele Beef Pate,TY00265,pcs,14.5,0,Ketchup\Mayonnaise\Baked Beans
Tilemsi,TY00266,5x5kg,600,0,Rice
Unoli Soya Oil 1L,TY00355,1l,42,39.17,Oil
Abena Rice 4.5kgx5,TY00250,5x4.5kg,365,345,Rice
Kpanla 25+,TY00259,kg,38,34,Meat\Fish
Chicken Broiler Carton Holland Mountaire,TY00260,10kg,290,270,Meat\Fish
Gino 210G Box,TY00262,box,155,0,Tomato Paste
Full Chicken Box,TY00268,10kg,380,340,Meat\Fish
Full Chicken Med,TY00269,1kg,38,0,Meat\Fish
Fanta Lemon 300Ml,TY00270,300ml,5,3.46,Beverages
Fanta Cocktail 30Cl,TY00271,30cl,5,3.46,Beverages
Onga Jollof,TY00273,pcs,2,0,Spices
Kpanla 14+ Box 10kg,TY00276,carton,270,250,Meat\Fish
Full Chicken Small,TY00277,pcs,38,36,Meat\Fish
Gino Tomato Paste 380G,TY00278,sachet,9.5,8.96,Tomato Paste
Gino Tomato Paste 1.05kg,TY00279,sachet,23,21.92,Tomato Paste
Kivo Tomato Paste 400G,TY00290,sachet,8.5,7.397260274,Tomato Paste
Lele Oil 5L,TY00339,5l,255,0,Oil
Viva 22.5 kg,TY00280,22.5kg,370,0,Rice
Tasty Tom 65g Box,TY00338,box,104,94.5,Tomato Paste
