Product,Code,MeasurementUnit,Price,Cost,ProductGroup
Tasty Tom 1.05kg Box,TY00602,box,280,268,Tomato Paste
Sultana Sardine Box,TY00603,box,348,0,Sardine
Bino Box,TY00604,box,340,0,Meat\Fish
Yellow Tail Large Box,TY00605,carton,330,300,Meat\Fish
Kivo Pepper 180G,TY00606,pcs,13,11.05,Spices
Paganini Box,TY00607,box,238,0,Spaghetti
Beef Filet,TY00608,kg,70,64,Meat\Fish
Voltic Water 500Ml Pack,TY00610,pack,24,21,Beverages
Dubai 22.5kg,TY00612,22.5kg,335,320,Rice
Moi Select 4kg,TY00613,4kg,66,0,Rice
Moi Select 5/4.5kg,TY00614,5x4.5kg,330,0,Rice
Zoey Rice  5X5,TY00615,5x5kg,335,320,Rice
Zoey 5kg,TY00616,5kg,67,0,Rice
Follow Me 45kg,TY00617,45kg,620,0,Rice
Follow Me 22.5,TY00618,22.5kg,320,0,Rice
Follow Me 5X5,TY00619,5x5kg,335,0,Rice
Follow Me 5kg,TY00620,5kg,67,0,Rice
Doga Spaghetti Box,TY00622,box,120,0,Spaghetti
Doga Spaghetti,TY00534,pcs,6,4.75,Spaghetti
Cassava Fish Carton 15kg,TY00628,carton,660,600,Meat\Fish
Platinum 5X 4.5kg,TY00630,5x4.5kg,325,0,Rice
Platinum 4.5kg,TY00633,4.5kg,65,0,Rice
Dada Nigerian Rice,TY00634,45kg,500,0,Rice
Minu Sausage Box,TY00637,box,470,420,Meat\Fish
Yellow Tail Small Box,TY00638,box,290,240,Meat\Fish
Royal Secret Thai 5X4.5,TY00639,5x4.5kg,550,510,Rice
Royal Secret 5kg,TY00640,5kg,106,102,Rice
Dubai 5X5,TY00641,5x5kg,335,320,Rice
Jasmine Rice 25Pounds,TY00642,25lbs,350,350,Rice
Pena Gizzard Box 12kg,TY00643,box,330,320,Meat\Fish
Kivo Curry Powder 250gm,TY00644,pcs,11,0,Spices
Dubai 5kg,TY00645,5kg,67,64,Rice
Obaapa Oil 250Ml,TY00646,pcs,11,9.7,Oil
Beef Sinews Half,TY00647,kg,17.5,0,Meat\Fish
Chicken Feet Half,TY00648,kg,14,11.5,Meat\Fish
Facemask Half,TY00649,kg,17,0,Meat\Fish
Kpanla 16+ Half,TY00652,0.5kg,15,12,Meat\Fish
Chicken Back Half Box,TY00653,carton,100,95,Meat\Fish
Sankofa Jollof,TY00654,pcs,0.8,0,Spices
Kpanla 20+ Half,TY00657,kg,17.5,0,Meat\Fish
Medina Viet 22.5kg,TY00658,22.5kg,320,300,Rice
Ginny Mayonnaise Small,TY00671,pcs,18,0,Ketchup\Mayonnaise\Baked Beans
A-One,TY00675,pcs,28,0,Spices
Aaba Oil 0.9L,TY00676,0.9l,25,0,Oil
Amani 20kg Box,TY00595,kg,395,0,Meat\Fish
Amani Sardine 10kg,TY00596,kg,220,205,Meat\Fish
Chicken Broiler Half kg,TY00597,0.5kg,14,13.26,Meat\Fish
Kpanla 14+ Half,TY00598,kg,14,11.5,Meat\Fish
Chicken Layer Hard Half,TY00599,0.5kg,16,15.4,Meat\Fish
Eggs Crate Small,TY00677,crate,48,0,Meat\Fish
Drumstick Half,TY00678,0.5kg,17,0,Meat\Fish
Sardine Amani 1kg,TY00679,kg,23,0,Meat\Fish
Risha Basmati 5X5,TY00680,kg,127,0,Rice
Gino Curry Powder Line,TY00682,line,6,4.5,Spices
[rplc,TY00520,kg,15,0,Meat\Fish
Half Beef Tripe Intestine(Yemade3),TY00521,0.5kg,15,12,Meat\Fish
Sprite 30Cl Pack,TY00561,0.3lx12,56,41.5,Beverages
Kpanla 14+Big,TY00683,kg,27,0,Meat\Fish
Three Horses 50kg,TY00684,50kg,485,465,Rice
Precious 45kg Rice,TY00685,kg,625,600,Rice
Oki Rice 22.5kg,TY00686,kg,310,0,Rice
Kivo Pepper 400G,TY00687,g,27,23.75,Spices
Dubai 1kg,TY00688,1kg,14,13,Rice
Cow Leg Box,TY00689,kg,460,430,Meat\Fish
K75 1kg,TY00611,1kg,18,0,Rice
Captain Rice 45kg,TY00609,45kg,480,0,Rice
Sofia  Viet Rice 5X4.5kg,TY00690,kg,360,340,Rice
Lele Monosodium 1Lib,TY00691,pcs,19,0,Spices
Salmon Foreign 20kg Box,TY00692,Carton,760,720,Meat\Fish
Golden Drop 25L,TY00693,25l,455,435,Oil
Lele Monosodium Mesh,TY00694,pcs,18,16,Spices
Mama'S Pride Spaghetti,TY00695,pcs,7,0,Spaghetti
La Vounce Paste 70g,TY00696,sachet,1.8,0,Tomato Paste
Mom'S Vegetable Oil,TY00697,4.5l,110,100,Oil
La Vonce 210Gms Tin,TY00698,tin,6,5.3,Tomato Paste
My Deer Gold 22.5kg,TY00699,22.5kg,440,425,Rice
Gino Pepper Mix 1.1,TY00700,sachet,24,22.16,Tomato Paste
Punjab Royal Basmatic  5X4kg,TY00701,kg,580,550,Rice
Punjab Royal Basmatic 5kg,TY00621,kg,145,137.5,Rice
Kivo Pepper 13Gm,TY00702,pcs,1.2,0.88,Spices
Full Chicken Small Carton,TY00703,kg,380,340,Meat\Fish
Pasta Mondoe 200Gm Spagetti,TY00623,pcs,3,0,Spaghetti
Tasty Tom Onion And Ginger 60g,TY00624,sachet,2.2,2,Tomato Paste
Kivo Baked Beans,TY00625,pcs,14,0,Ketchup\Mayonnaise\Baked Beans
Sankofa Fish 5G,TY00626,g,0.8,0,Spices
Sankofa Ginger And Galic5G,TY00627,pcs,0.8,0,Spices
Coca Cola Pet 45Cl,TY00629,45cl,8,0,Beverages
Africa Gold Nigeria 50kg,TY00631,kg,475,450,Rice
Flamingo 22.5 Broken Rice,TY00632,kg,295,270,Rice
Gino Pepper & Onion 210,TY00673,sachet,7.5,0,Tomato Paste
Tasty Tom Jollof  60g,TY00704,sachet,2.5,0,Tomato Paste
Red Fish Box Big,TY00549,carton,430,0,Meat\Fish
Frytol Sachet 900Ml,TY00635,0.9l,21,19,Oil
Fortune Vegetable Oil 4.5L,TY00636,4.5l,108,99,Oil
Lele Tuna Chunks,TY00655,pcs,15,13.9,Tuna Flakes\Chunks
Nhyira 40kg,TY00650,40kg,590,568,Rice
Chanel 1kg,TY00651,1kg,14.5,13.25,Rice
Three Dolphins 45,TY00660,kg,520,500,Rice
Cindy Sardine,TY00674,pcs,7,6,Sardine
Arima Waakye Rice,TY00659,45kg,520,500,Rice
Hubbards Spaghetti,TY00661,pcs,28,25,Spaghetti
Simply Spaghetti,TY00662,pcs,14,13,Spaghetti
Hearty Spaghetti,TY00663,pcs,14,13,Spaghetti
Maggi Dedeede Pack,TY00664,60x11g,38,36,Spices
Egye Aware 250g Small,TY00665,pcs,15,13,Spices
Badia Complete Seasoning Small,TY00666,pcs,23,20,Spices
Badia Complete Seasoning Large,TY00667,pcs,65,58.5,Spices
Magic Mayo 1000Ml,TY00668,pcs,47,42,Ketchup\Mayonnaise\Baked Beans
Paganini Spaghetti 500G,TY00669,pcs,8,7,Spaghetti
maggie dedeede 1p,TY00670,pcs,0.8,0.7,Spices
Red Fish,TY00705,kg,40,40,Meat\Fish
Adja Spice,TY00672,pcs,3,2.5,Spices
BADIA Curry Powder Small,TY00706,pcs,30,25,Spices
Salmon Local Small,TY00576,kg,28,25,Meat\Fish
Philfry Oil 25L,TY00711,25l,490,470,Oil
Kpanla 25+ Box 20kg,TY00712,carton,740,520,Meat\Fish
Mannish Ginger & Garlic Pcs,TY00713,pcs,2,2,Mabel Spices
Mannish Ginger & Garlic Pouch Large,TY00714,pouch,20,20,Mabel Spices
Mannish Groundnut Paste Small,TY00715,pcs,15,15,Mabel Spices
Mannish Groundnut Paste Medium 2,TY00716,pcs,40,40,Mabel Spices
Mannish Groundnut Paste Large,TY00717,pcs,60,60,Mabel Spices
Vatkum Shitor Large,TY00718,pcs,95,95,External
Vatkum Shitor Small,TY00719,pcs,35,35,External
Vatkum Shitor Medium 1,TY00720,pcs,40,40,External
Vatkum Shitor Medium 2,TY00721,pcs,75,75,External
Mannish Groundnut Paste Medium 1,TY00722,pcs,30,30,Mabel Spices
Mannish Dawadawa Pouch Large,TY00723,pouch,20,20,Mabel Spices
Mannish Dawadawa Pouch Small,TY00724,pouch,10,10,Mabel Spices
Mannish Ginger & Garlic Pouch Small,TY00725,pouch,10,10,Mabel Spices
Fanta Orange 30Cl Pack,TY00726,0.3lx12,56,41.5,Beverages
LOCAL SPICES (AUNT MAY),TY00800,,2,2,Mabel Spices
Gari Olonka,TY00801,,22,0,Spices
Fanta Cocktail 30Cl Pack,TY00727,0.3lx12,56,41.5,Beverages
Remie Beef 50g,TY00728,pcs,4,3.5,Spices
Perdix Gizzard Box,TY00729,10x1kg,250,220,Meat\Fish
Makkah 4.25kg,TY00730,4.25kg,68,64,Rice
Makkah 5x4.25kg,TY00731,5x4.25kg,340,320,Rice
Arima 25kg,TY00734,25kg,0,0,Rice
Enapa Soya Sauce Box,TY00752,1lx12,0,162,Oil
Frytol 0.8l Box,TY00741,12x0.8l,360,345,Oil
Frytol 1.85l Box,TY00740,6x1.85l,360,345,Oil
Frytol 4.5l Box,TY00748,4x4.5l,420,400,Oil
Makkah 45kg,TY00733,50kg,630,605,Rice
Mom's Magic 0.85l,TY00738,0.8l,32,0,Oil
Moms Magic 4.5l Box,TY00745,4x4.5l,0,0,Oil
Mom's Magic 4l,TY00749,4l,0,0,Oil
Mom's Magic 4l Box,TY00750,4x4l,0,0,Oil
Mom'S Oil 1.8l Box,TY00742,6x1.8l,350,0,Oil
Mom's Oil 3l Box,TY00746,6x3l,0,0,Oil
Mom's Oil 4.5l Box,TY00747,4x4.5l,0,0,Oil
Oba Gold 4.5x5,TY00736,25kg,340,325,Rice
Oliya 1l,TY00743,1l,36,0,Oil
Oliya 1l Box,TY00744,12x1l,410,390,Oil
Red Eagle 50kg,TY00732,50kg,720,700,Rice
Riz Mimo 5kg,TY00737,5kg,0,0,Rice
Riz Mimo 5x5kg,TY00751,5x5kg,0,0,Rice
Ruby Viet Rice 5 % Broken 4.5kgx5,TY00735,25kg,0,0,Rice
Unoli Sunflower Oil 1l Box,TY00739,12x1l,590,565,Oil
Chicken Wings Hard Half Kilo,TY00754,0.5kg,17,16.5,Meat\Fish
Onga Shrimp Quarter Box,TY00753,box,8,0,Spices
Turkey Wings Half Kilo,TY00755,0.5kg,23,20,Meat\Fish
Cow Leg Kotodwe Half Kilo,TY00756,0.5kg,13,0,Meat\Fish
Chicken Back Half Kilo,TY00757,0.5kg,11,9.5,Meat\Fish
Boneless Beef Half Kilo,TY00758,0.5kg,40,35,Meat\Fish
Chicken Breast Half Kilo,TY00759,0.5kg,0,0,Meat\Fish
White Tripe half Kilo,TY00760,0.5kg,15,0,Meat\Fish
Hen Back Half Kilo,TY00761,0.5kg,12,10.12,Meat\Fish
Facemask Box,TY00762,carton,330,330,Meat\Fish
Cvale Gizzard Box,TY00763,box,295,270,Meat\Fish
Kpanla 16+ Box 20kg,TY00764,carton,0,0,Meat\Fish
Salmon Abidjan 25kg Box,TY00765,carton,920,720,Meat\Fish
Maggi Dedeede Half Box,TY00766,box,19,18,Spices
Maggi Dedeede Quarter Box,TY00767,box,9.5,9,Spices
Maggi Shrimp Half Box,TY00768,box,16,15,Spices
Maggi Shrimp Quater Box,TY00769,box,8,7.5,Spices
Tam-Tam Box,TY00770,box,210,190,Tomato Paste
Tam-Tam 2.2kg,TY00771,tin,35,31.67,Tomato Paste
Voltic 750ml Pack,TY00772,pack,25,21,Beverages
SIMPLY SPAG BIG,TY00773,pcs,28,0,Spaghetti
Tasty Tom 1.1kg box,TY00774,pcs,280,0,Tomato Paste
Local Salmon Medium Box,TY00776,carton,290,250,Meat\Fish
Lar Gizzard Box,TY00775,carton,290,375,Meat\Fish
Mountaire Broiler box,TY00806,kg,270,250,Meat\Fish
Kpanla 16+ big,TY00822,KG,30,0,Meat\Fish
Dubai waakye rice 50kg,TY00823,kg,520,500,Rice
spar leta tonic pack,TY00824,,56,41.5,Beverages
spar leta soda water pack,TY00825,,56,41.5,Beverages
OBA GOLD 4.5,TY00802,,69,65,Rice
DUBAI 20X800G BAG,TY00803,,280,260,Rice
GINO CURRY POWDER 22G,TY00804,,2.5,2.16,Spices
GINO CURRY POWDER 22G BOX,TY00805,,300,260,Spices
HABIBA RICE 45KG,TY00826,45KG,450,420,Rice
Oba Basmatic,TY00813,kg,440,420,Rice
Tradekey 25l oil,TY00811,,440,625,Oil
Kitchen king 45kg,TY00812,kg,645,625,Rice
OBA BASMATIC 5KG,TY00814,KG,110,0,Rice
Sankofa Spice Soup 5g,TY00827,g,0.8,0,Spices
KIVO PEPPER 180G BOX,TY00828,,0,0,Spices
TASTY TOM JOLLOF MIX 210G BOX,TY00829,,0,0,Tomato Paste
TRIPE NICE ONE,TY00807,,30,0,Meat\Fish
LAYER WHITE BOX,TY00808,BOX,300,0,Meat\Fish
coconut oil 1L,TY00810,L,45,42,Oil
TRIPE NICE ONE BOX,TY00821,,290,0,Meat\Fish
Sofia,TY00809,,72,0,Rice
CHANEL BROKEN 45KG,TY00815,45KG,510,490,Rice
AABA VEGETABLE OIL BOX 0.9L,TY00818,LTR,280,240,Oil
La vonce 210g Box,TY00819,,144,130,Tomato Paste
MOMS RECIPE 50KG,TY00820,,0,490,Rice
Delicious Rice 22.5Kg,TY00777,Kg,335,320,Rice
Lucky Horse Rice 50kg,TY00778,Kg,540,520,Rice
CANADA DRUMSTICK 10KG,TY00817,,290,270,Meat\Fish
COPACO GIZZARD,TY00816,,30,0,Meat\Fish
Rivelli Gizzard Box,TY00831,,0,0,Meat\Fish
Rivelli Gizzard,TY00830,,30,0,Meat\Fish
Habiba 50kg,TY00780,,510,490,Rice
makkah,TY00792,,630,0,Rice
Egye Awaree 500g Large,TY00779,500g,25,0,Spices
Gino  tomato paste,TY00847,,226,0,Tomato Paste
Delicio's 1kg,TY00858,,15,0,Rice
Makkah 22.5g Rice,TY00656,kg,335,0,Rice
C -Vale Broiler Box,TY00782,,270,0,Meat\Fish
salmon 12.5kg,TY00869,,462.5,0,Meat\Fish
Sara oil 25l,TY00880,litre,485,470,Oil
Delicious rice 5x5,TY00881,kg,335,320,Rice
Delicious 5kg,TY00882,kg,67,64,Rice
Rambo Sardine,TY00883,gr,6.5,5.7,Sardine
Proor oil 1litre,TY00781,litre,0,0,Oil
Pyoor 900ml oil,TY00783,ml,25,22,Oil
St. Louis Local Rice,TY00833,pcs,70,0,Rice
Pork Face/Mask Box,TY00832,pcs,350,0,Rice
St. Louis Local 5x5,TY00834,pcs,350,0,Rice
BRISK FARM 56G,TY00784,,1.8,0,Tomato Paste
UNOLI 1LITRE SUNFLOWER,TY00785,,50,0,Oil
Hondi 210gm,TY00786,,6,0,Tomato Paste
tasty tom 210 can,TY00787,,166,0,Tomato Paste
Cheval fort nigeria rice 50kg,TY00788,kg,490,0,Rice
Cassava fish 20kg,TY00789,kg,880,0,Meat\Fish
Cassava fish 10kg,TY00790,kg,440,0,Meat\Fish
AMI 25L OIL,TY00791,L,490,0,Oil
GINO BAKED BEANS,TY00793,,15,0,Tuna Flakes\Chunks
aaba rice 5kg,TY00794,,110,0,Rice
Coca Cola 1.5L Pack,TY00835,Liter,118,0,Beverages
Fanta Orange 1.5L Pack,TY00836,Liter,118,0,Beverages
Sprite 1.5L Pack,TY00837,Liter,118,0,Beverages
SALMON LOCAL 15KG,TY00795,KG,405,0,Meat\Fish
TASTY TOM TIN 400G,TY00796,,250,0,Tomato Paste
TASTY TOM TIN 210,TY00797,,166,0,Tomato Paste
Lele Corned Beef198gr,TY00798,,23,0,Sardine
Lele Tuna Flakes,TY00799,gr,12,0,Tuna Flakes\Chunks
UNOLI SOYA BEAN OIL {12\1L} BOX,TY00844,,490,465,Oil
ROYAL SUNFLOWER OIL {20\1LTR},TY00845,,580,560,Oil
ROYAL SUNFLOWER OIL {4\5LTR},TY00846,,580,560,Oil
AABA OIL {12\0.9LTR} BOX,TY00848,,300,0,Oil
PYOOR OIL 12\0.9LTR BOX,TY00849,,280,0,Oil
Enapa Mackerel 155g Box,TY00850,,350,0,Mackerel
titus box,TY00851,,450,0,Sardine
Delicious 45kg,TY00852,,630,610,Rice
cindy 10kg,TY00853,,148,0,Rice
Ginny Mayo 1000ml,TY00854,,53,50,Rice
Magic Spag,TY00857,,8,7,Spaghetti
Pretty Lady 900g,TY00855,,15,0,Rice
Uncle Sam 5x5 kg,TY00856,kg,515,495,Rice
Uncle Sam 5kg,TY00859,kg,103,99,Rice
kivo pepper 45g,TY00860,,3.5,3,Spices
Potatoes Chips box,TY00861,,320,0,Rice
Enapa Mackerel 435g Box,TY00863,,382,0,Mackerel
K75 Sliver 5x4kg,TY00862,,315,0,Meat\Fish
k75 Sliver 4kg,TY00864,,63,0,Rice
Tripe box,TY00867,,290,0,Meat\Fish
Salmon foreign,TY00865,,42,0,Meat\Fish
Leemax Tomatoes 2.2,TY00866,,222,0,Tomato Paste
ENAPA SARDINE,TY00868,,400,0,Sardine
Leemax Tomato Mix,TY00838,Kg,38,0,Tomato Paste
Riz Mann Rice 50kg,TY00839,Kg,510,0,Rice
Coca Cola 1.0Ltr,TY00840,pcs,14,0,Beverages
Fanta Orange 1.0L,TY00841,pcs,14,0,Beverages
Sprite Zero 1.0L,TY00842,pcs,14,0,Beverages
salmon foreign 25+ extra,TY00870,,40,0,Meat\Fish
"frytol 4,5 box",TY00871,,425,0,Oil
VIMTO Pet 330ml,TY00843,330ml,5,0,Beverages
Nana chicken burger,TY00872,,60,0,Meat\Fish
rambo,TY00873,,325,0,Sardine
salmon foriegn 15kg,TY00874,,555,0,Meat\Fish
OBA 5KG,TY00875,,67,0,Rice
Full Goat,TY00877,kg,700,0,Meat\Fish
salmon local 20kgs brown box,TY00876,,540,0,Meat\Fish
Fanta Cocktail 1.5l Pack,TY00878,,118,0,Beverages
Amah Carton,TY00879,,340,0,Meat\Fish
Vimto 300ml Pack,TY00885,,58,0,Beverages
Fanta Cocktail 1.5l,TY00884,,20,0,Beverages
unoli sunflower 900ml,TY00887,,540,0,Oil
lele sunflower 1litre,TY00886,,400,0,Oil
Abidjan Salmon Large,TY00888,,40,0,Meat\Fish
Vatkum Shitor 500ml,TY00890,,80,80,External
Remie Stew 10g,TY00891,,1,0,Spices
Sankofa Chicken & Beef 5g,TY00892,,0.8,0,Spices
Sankofa Noodles & Spaghetti,TY00893,,0.8,0,Spices
A-One Tied,TY00894,,5,0,Spices
Jago,TY00895,,40,0,Ketchup\Mayonnaise\Baked Beans
Unoli Soyabean 5l,TY00896,,205,0,Oil
Coca-Cola Zero Can,TY00897,,7,0,Beverages
